--------------------------------------------------------------------------------------------------------------
Example ids:  245 project:  FFmpeg commit id:  7bf3f380466eeff24916fd6218aca13e414c6240 Number of lines:  124 tground truth:  1
Original lines: 
Predicted Correctly by :  ['PLBART', 'devign', 'regvd', 'vulberta_cnn', 'vulberta_mlp']
0 static int cbs_h265_read_nal_unit(CodedBitstreamContext *ctx,                                  {'PLBART': 0, 'devign': 21, 'regvd': 14, 'vulberta_cnn': 29, 'vulberta_mlp': 9}
2                             AVFormatParameters *ap)                                            {'linevul': 0, 'codebert': 2, 'devign': 90, 'regvd': 105, 'vulberta_cnn': 54, 'vulberta_mlp': 98}
4 {                                                                                              {'linevul': 30, 'codebert': 4, 'devign': -1, 'regvd': 118, 'vulberta_cnn': 65, 'vulberta_mlp': 97}
6     FilmDemuxContext *film = s->priv_data;                                                     {'linevul': 11, 'codebert': 3, 'devign': 4, 'regvd': 36, 'vulberta_cnn': 23, 'vulberta_mlp': 96}
8     AVIOContext *pb = s->pb;                                                                   {'linevul': 18, 'codebert': 17, 'devign': 65, 'regvd': 77, 'vulberta_cnn': 40, 'vulberta_mlp': 47}
10     AVStream *st;                                                                             {'linevul': 27, 'codebert': 23, 'devign': 91, 'regvd': 101, 'vulberta_cnn': 79, 'vulberta_mlp': 95}
12     unsigned char scratch[256];                                                               {'linevul': 26, 'codebert': 22, 'devign': 29, 'regvd': 95, 'vulberta_cnn': 75, 'vulberta_mlp': 30}
14     int i;                                                                                    {'linevul': 28, 'codebert': 24, 'devign': 89, 'regvd': 111, 'vulberta_cnn': 56, 'vulberta_mlp': 94}
16     unsigned int data_offset;                                                                 {'linevul': 25, 'codebert': 20, 'devign': 58, 'regvd': 99, 'vulberta_cnn': 42, 'vulberta_mlp': 93}
18     unsigned int audio_frame_counter;                                                         {'linevul': 21, 'codebert': 12, 'devign': 57, 'regvd': 86, 'vulberta_cnn': 6, 'vulberta_mlp': 92}
22     film->sample_table = NULL;                                                                {'linevul': 22, 'codebert': 13, 'devign': 84, 'regvd': 64, 'vulberta_cnn': 68, 'vulberta_mlp': 36}
24     film->stereo_buffer = NULL;                                                               {'linevul': 20, 'codebert': 16, 'devign': 88, 'regvd': 59, 'vulberta_cnn': 64, 'vulberta_mlp': 18}
26     film->stereo_buffer_size = 0;                                                             {'linevul': 17, 'codebert': 14, 'devign': 18, 'regvd': 56, 'vulberta_cnn': 15, 'vulberta_mlp': 91}
30     /* load the main FILM header */                                                           {'linevul': 24, 'codebert': 19, 'devign': -1, 'regvd': 102, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
32     if (avio_read(pb, scratch, 16) != 16)                                                     {'linevul': 6, 'codebert': 8, 'devign': 7, 'regvd': 55, 'vulberta_cnn': 63, 'vulberta_mlp': 1}
34         return AVERROR(EIO);                                                                  {'linevul': 15, 'codebert': 15, 'devign': 36, 'regvd': 91, 'vulberta_cnn': 80, 'vulberta_mlp': 2}
36     data_offset = AV_RB32(&scratch[4]);                                                       {'linevul': 9, 'codebert': 5, 'devign': 83, 'regvd': 12, 'vulberta_cnn': 50, 'vulberta_mlp': 15}
38     film->version = AV_RB32(&scratch[8]);                                                     {'linevul': 10, 'codebert': 6, 'devign': 72, 'regvd': 3, 'vulberta_cnn': 98, 'vulberta_mlp': 9}
42     /* load the FDSC chunk */                                                                 {'linevul': 23, 'codebert': 9, 'devign': -1, 'regvd': 103, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
44     if (film->version == 0) {                                                                 {'linevul': 19, 'codebert': 10, 'devign': 56, 'regvd': 60, 'vulberta_cnn': 41, 'vulberta_mlp': 21}
46         /* special case for Lemmings .film files; 20-byte header */                           {'linevul': 2, 'codebert': 7, 'devign': -1, 'regvd': 62, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
48         if (avio_read(pb, scratch, 20) != 20)                                                 {'linevul': 4, 'codebert': 21, 'devign': 48, 'regvd': 49, 'vulberta_cnn': 16, 'vulberta_mlp': 7}
50             return AVERROR(EIO);                                                              {'linevul': 7, 'codebert': 18, 'devign': 35, 'regvd': 90, 'vulberta_cnn': 20, 'vulberta_mlp': 6}
52         /* make some assumptions about the audio parameters */                                {'linevul': 13, 'codebert': 11, 'devign': -1, 'regvd': 96, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
54         film->audio_type = CODEC_ID_PCM_S8;                                                   {'linevul': 1, 'codebert': 1, 'devign': 11, 'regvd': 25, 'vulberta_cnn': 43, 'vulberta_mlp': 12}
56         film->audio_samplerate = 22050;                                                       {'linevul': 8, 'codebert': -1, 'devign': 12, 'regvd': 26, 'vulberta_cnn': 9, 'vulberta_mlp': 90}
58         film->audio_channels = 1;                                                             {'linevul': 12, 'codebert': -1, 'devign': 70, 'regvd': 45, 'vulberta_cnn': 13, 'vulberta_mlp': 89}
60         film->audio_bits = 8;                                                                 {'linevul': 14, 'codebert': -1, 'devign': 80, 'regvd': 40, 'vulberta_cnn': 53, 'vulberta_mlp': 35}
62     } else {                                                                                  {'linevul': 29, 'codebert': -1, 'devign': -1, 'regvd': 114, 'vulberta_cnn': 49, 'vulberta_mlp': 88}
64         /* normal Saturn .cpk files; 32-byte header */                                        {'linevul': 5, 'codebert': -1, 'devign': -1, 'regvd': 79, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
66         if (avio_read(pb, scratch, 32) != 32)                                                 {'linevul': 3, 'codebert': -1, 'devign': 47, 'regvd': 52, 'vulberta_cnn': 81, 'vulberta_mlp': 32}
68             return AVERROR(EIO);                                                              {'linevul': -1, 'codebert': -1, 'devign': 34, 'regvd': 89, 'vulberta_cnn': 25, 'vulberta_mlp': 87}
70         film->audio_samplerate = AV_RB16(&scratch[24]);                                       {'linevul': -1, 'codebert': -1, 'devign': 73, 'regvd': 0, 'vulberta_cnn': 18, 'vulberta_mlp': 13}
72         film->audio_channels = scratch[21];                                                   {'linevul': -1, 'codebert': -1, 'devign': 40, 'regvd': 10, 'vulberta_cnn': 87, 'vulberta_mlp': 24}
74         film->audio_bits = scratch[22];                                                       {'linevul': -1, 'codebert': -1, 'devign': 54, 'regvd': 11, 'vulberta_cnn': 73, 'vulberta_mlp': 52}
76         if (scratch[23] == 2)                                                                 {'linevul': -1, 'codebert': -1, 'devign': 66, 'regvd': 78, 'vulberta_cnn': 17, 'vulberta_mlp': 42}
78             film->audio_type = CODEC_ID_ADPCM_ADX;                                            {'linevul': -1, 'codebert': -1, 'devign': 20, 'regvd': 31, 'vulberta_cnn': 93, 'vulberta_mlp': 86}
80         else if (film->audio_bits == 8)                                                       {'linevul': -1, 'codebert': -1, 'devign': 41, 'regvd': 19, 'vulberta_cnn': 8, 'vulberta_mlp': 23}
82             film->audio_type = CODEC_ID_PCM_S8;                                               {'linevul': -1, 'codebert': -1, 'devign': 10, 'regvd': 24, 'vulberta_cnn': 86, 'vulberta_mlp': 85}
84         else if (film->audio_bits == 16)                                                      {'linevul': -1, 'codebert': -1, 'devign': 62, 'regvd': 21, 'vulberta_cnn': 51, 'vulberta_mlp': 51}
86             film->audio_type = CODEC_ID_PCM_S16BE;                                            {'linevul': -1, 'codebert': -1, 'devign': 21, 'regvd': 28, 'vulberta_cnn': 58, 'vulberta_mlp': 84}
88         else                                                                                  {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 117, 'vulberta_cnn': 34, 'vulberta_mlp': 0}
90             film->audio_type = CODEC_ID_NONE;                                                 {'linevul': -1, 'codebert': -1, 'devign': 22, 'regvd': 42, 'vulberta_cnn': 33, 'vulberta_mlp': 10}
92     }                                                                                         {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 126, 'vulberta_cnn': 38, 'vulberta_mlp': 83}
96     if (AV_RB32(&scratch[0]) != FDSC_TAG)                                                     {'linevul': -1, 'codebert': -1, 'devign': 37, 'regvd': 20, 'vulberta_cnn': 35, 'vulberta_mlp': 17}
98         return AVERROR_INVALIDDATA;                                                           {'linevul': -1, 'codebert': -1, 'devign': 75, 'regvd': 98, 'vulberta_cnn': 59, 'vulberta_mlp': 4}
102     if (AV_RB32(&scratch[8]) == CVID_TAG) {                                                  {'linevul': -1, 'codebert': -1, 'devign': 69, 'regvd': 15, 'vulberta_cnn': 32, 'vulberta_mlp': 27}
104         film->video_type = CODEC_ID_CINEPAK;                                                 {'linevul': -1, 'codebert': -1, 'devign': 27, 'regvd': 58, 'vulberta_cnn': 11, 'vulberta_mlp': 57}
106     } else                                                                                   {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 115, 'vulberta_cnn': 57, 'vulberta_mlp': 82}
108         film->video_type = CODEC_ID_NONE;                                                    {'linevul': -1, 'codebert': -1, 'devign': 28, 'regvd': 61, 'vulberta_cnn': 4, 'vulberta_mlp': 46}
112     /* initialize the decoder streams */                                                     {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 106, 'vulberta_cnn': -1, 'vulberta_mlp': -1}
114     if (film->video_type) {                                                                  {'linevul': -1, 'codebert': -1, 'devign': 44, 'regvd': 76, 'vulberta_cnn': 71, 'vulberta_mlp': 41}
116         st = av_new_stream(s, 0);                                                            {'linevul': -1, 'codebert': -1, 'devign': 24, 'regvd': 75, 'vulberta_cnn': 89, 'vulberta_mlp': 50}
118         if (!st)                                                                             {'linevul': -1, 'codebert': -1, 'devign': 16, 'regvd': 108, 'vulberta_cnn': 61, 'vulberta_mlp': 3}
120             return AVERROR(ENOMEM);                                                          {'linevul': -1, 'codebert': -1, 'devign': 51, 'regvd': 94, 'vulberta_cnn': 14, 'vulberta_mlp': 26}
122         film->video_stream_index = st->index;                                                {'linevul': -1, 'codebert': -1, 'devign': 71, 'regvd': 71, 'vulberta_cnn': 28, 'vulberta_mlp': 81}
124         st->codec->codec_type = AVMEDIA_TYPE_VIDEO;                                          {'linevul': -1, 'codebert': -1, 'devign': 81, 'regvd': 72, 'vulberta_cnn': 47, 'vulberta_mlp': 49}
126         st->codec->codec_id = film->video_type;                                              {'linevul': -1, 'codebert': -1, 'devign': 25, 'regvd': 68, 'vulberta_cnn': 3, 'vulberta_mlp': 80}
128         st->codec->codec_tag = 0;  /* no fourcc */                                           {'linevul': -1, 'codebert': -1, 'devign': 87, 'regvd': 69, 'vulberta_cnn': 88, 'vulberta_mlp': 40}
130         st->codec->width = AV_RB32(&scratch[16]);                                            {'linevul': -1, 'codebert': -1, 'devign': 78, 'regvd': 7, 'vulberta_cnn': 1, 'vulberta_mlp': 5}
132         st->codec->height = AV_RB32(&scratch[12]);                                           {'linevul': -1, 'codebert': -1, 'devign': 82, 'regvd': 8, 'vulberta_cnn': 84, 'vulberta_mlp': 38}
134     }                                                                                        {'linevul': -1, 'codebert': -1, 'devign': -1, 'regvd': 125, 'vulberta_cnn': 62, 'vulberta_mlp': 79}
138     if (film->audio_type) {                                                                  {'linevul': -1, 'codebert': -1, 'devign': 38, 'regvd': 57, 'vulberta_cnn': 76, 'vulberta_mlp': 78}
140         st = av_new_stream(s, 0);                                                            {'linevul': -1, 'codebert': -1, 'devign': 23, 'regvd': 74, 'vulberta_cnn': 83, 'vulberta_mlp': 48}
142         if (!st)                                                                             {'linevul': -1, 'codebert': -1, 'devign': 15, 'regvd': 107, 'vulberta_cnn': 91, 'vulberta_mlp': 77}
144             return AVERROR(ENOMEM);                                                          {'linevul': -1, 'codebert': -1, 'devign': 50, 'regvd': 93, 'vulberta_cnn': 82, 'vulberta_mlp': 76}
146         film->audio_stream_index = st->index;                                                {'linevul': -1, 'codebert': -1, 'devign': 60, 'regvd': 51, 'vulberta_cnn': 22, 'vulberta_mlp': 22}
148         st->codec->codec_type = AVMEDIA_TYPE_AUDIO;                                          {'linevul': -1, 'codebert': -1, 'devign': 86, 'regvd': 66, 'vulberta_cnn': 21, 'vulberta_mlp': 56}
150         st->codec->codec_id = film->audio_type;                                              {'linevul': -1, 'codebert': -1, 'devign': 14, 'regvd': 48, 'vulberta_cnn': 24, 'vulberta_mlp': 14}
152         st->codec->codec_tag = 1;                                                            {'linevul': -1, 'codebert': -1, 'devign': 85, 'regvd': 82, 'vulberta_cnn': 12, 'vulberta_mlp': 16}
154         st->codec->channels = film->audio_channels;                                          {'linevul': -1, 'codebert': -1, 'devign': 52, 'regvd': 44, 'vulberta_cnn': 44, 'vulberta_mlp': 25}
156         st->codec->sample_rate = film->audio_samplerate;                                     {'linevul': -1, 'codebert': -1, 'devign': 64, 'regvd': 38, 'vulberta_cnn': 0, 'vulberta_mlp': 55}
